nome,poluicao,felicidade,exp,moneyForTurn,nvl,custo,Fazenda,Residências,Floresta,Industrial,Comercial,Acadêmico,Prefeitura
Mais Caminhões,2,-3,0,10,2,25,,,,Industrial,Comercial,,
Industria Automobilista,2,1,3,25,3,60,,,,Industrial,Comercial,Acadêmico,
Apartamentos,2,2,0,5,3,45,,Residências,,,,,
Fertilizantes,2,1,2,8,1,20,Fazenda,,,,Comercial,,
Industria Alimentícia,2,2,2,15,3,45,Fazenda,,,Industrial,Comercial,,
Show de Cantor Sertanejo,2,3,0,10,1,100,,,,,Comercial,,
Loja de Carros,2,3,0,15,2,35,,,Floresta,Industrial,Comercial,,
Piscicultura,2,3,1,7,2,25,Fazenda,Residências,,,Comercial,Acadêmico,
Automação,2,3,2,40,5,80,,,,Industrial,Comercial,Acadêmico,
Computadores Escolares,2,4,4,-3,3,40,,,,,,Acadêmico,
Inv. no Hospital,2,3,2,-5,2,30,Fazenda,Residências,Floresta,Industrial,Comercial,Acadêmico,
Agrotóxicos,3,-3,0,15,3,40,Fazenda,,,,Comercial,,
Siderúrgica,3,-3,1,40,4,60,,,,Industrial,,Acadêmico,
Usina Termelétrica,3,-1,2,15,2,35,Fazenda,,Floresta,Industrial,Comercial,Acadêmico,
Garimpo,4,-3,1,25,3,40,,,,Industrial,,Acadêmico,
